MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
212.44475482146132,220.89592434567402,1.8267675409724164,0.907838104411191,AutoTheta,14,T3295,0.9870327214863361
22.327142857142917,28.927110615673858,2.186376921487077,0.7201923749797263,Naive,7,T2757,0.9296068130910846
35.85285714285719,40.77983675438498,3.5262494349346216,1.1564826946616014,Naive,14,T2757,0.9296068130910846
18.612857142857138,24.10978491342113,1.8270027110889535,0.6003830349741395,SeasonalNaive,7,T2757,0.9296068130910846
32.08428571428571,37.50052666296835,3.1616276372321837,1.034922295071318,SeasonalNaive,14,T2757,0.9296068130910846
22.326228798255215,28.926405112979452,2.1862890454730444,0.7201628907664789,AutoETS,7,T2757,0.9296068130910846
35.85194308396949,40.77903313351544,3.5261615766655776,1.1564532104483538,AutoETS,14,T2757,0.9296068130910846
21.86839387871029,28.771219098675633,2.142246845504137,0.7053948024281976,AutoTheta,7,T2757,0.9296068130910846
35.38371301763949,40.440333647732665,3.481130286085815,1.1413498125051085,AutoTheta,14,T2757,0.9296068130910846
52.3999999999999,61.18015551280839,1.3870583862397887,0.23803816377683937,Naive,7,T3139,0.9763289142465224
58.27142857142852,69.61580280367373,1.5394123840368905,0.2647103789655749,Naive,14,T3139,0.9763289142465224
46.22857142857148,56.099095994753526,1.220851220871978,0.21000313467335183,SeasonalNaive,7,T3139,0.9763289142465224
61.24285714285718,75.03769528900605,1.614310272674796,0.2782087263116993,SeasonalNaive,14,T3139,0.9763289142465224
52.39582194246135,61.17609966625005,1.3869484830706678,0.2380191840603388,AutoETS,7,T3139,0.9763289142465224
58.27003588558234,69.61318074050517,1.539375754458174,0.26470405239340805,AutoETS,14,T3139,0.9763289142465224
52.86729947248724,61.38335063929354,1.3993651989849,0.24016097118838084,AutoTheta,7,T3139,0.9763289142465224
59.04582098892911,69.7124361171405,1.5598016227011833,0.26822822150573805,AutoTheta,14,T3139,0.9763289142465224
73.81428571428543,94.73030138239783,1.3520947329323982,0.29263734573884076,Naive,7,T3604,0.9863441669952303
127.1785714285711,144.71318184602222,2.339348673278649,0.5042004974724275,Naive,14,T3604,0.9863441669952303
99.3285714285712,113.94530642875463,1.8166496201031637,0.3937889423112372,SeasonalNaive,7,T3604,0.9863441669952303
130.70714285714277,142.87192316397017,2.402991380455608,0.518189548062228,SeasonalNaive,14,T3604,0.9863441669952303
80.19272639027726,102.08023795151993,1.4674505524044736,0.3179247265122574,AutoETS,7,T3604,0.9863441669952303
137.65192426162926,155.99922090971864,2.528759436499467,0.5457221913341802,AutoETS,14,T3604,0.9863441669952303
74.10187175896355,95.82797330559391,1.3572976925433038,0.293777482989669,AutoTheta,7,T3604,0.9863441669952303
